# API Access Log
# Format: timestamp|method|endpoint|userId|username|ipAddress|statusCode|responseTime|userAgent|apiKey

2025-04-16T23:30:05.123Z|GET|/api/products|105|jdoe|192.168.1.25|200|43|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|null
2025-04-16T23:31:17.456Z|POST|/api/orders|105|jdoe|192.168.1.25|201|126|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|null
2025-04-16T23:33:42.789Z|GET|/api/users|203|asmith|192.168.1.30|403|38|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)|null
2025-04-16T23:36:24.321Z|PUT|/api/users/profile|203|asmith|192.168.1.30|200|87|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)|null
2025-04-16T23:40:51.654Z|GET|/api/admin/stats|null|null|192.168.1.40|401|25|Mozilla/5.0 (Linux; Android 10)|null
2025-04-16T23:45:33.987Z|GET|/api/products/featured|null|null|192.168.1.85|200|36|Mozilla/5.0 (iPad; CPU OS 14_7_1)|null
2025-04-16T23:47:19.753Z|POST|/api/webhooks/payment|null|null|54.123.45.67|200|231|Stripe/v1|sk_test_********
2025-04-16T23:51:48.246Z|GET|/api/user/orders|118|mwilliams|192.168.1.45|200|71|Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1)|null
2025-04-16T23:54:07.579Z|DELETE|/api/cart|118|mwilliams|192.168.1.45|204|41|Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1)|null
2025-04-17T00:01:23.135Z|POST|/api/secure/analytics|241|tadams|192.168.1.50|200|159|Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_3)|null
2025-04-17T00:03:56.468Z|GET|/api/products/search|null|null|192.168.1.90|200|68|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|null
2025-04-17T00:08:12.801Z|GET|/api/admin/users|132|rjones|192.168.1.55|200|93|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|null
2025-04-17T00:11:39.234Z|PUT|/api/admin/users/105|132|rjones|192.168.1.55|200|87|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|null
2025-04-17T00:14:45.567Z|POST|/api/payments/refund|132|rjones|192.168.1.55|201|143|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|null
2025-04-17T00:17:28.901Z|GET|/api/products|172|klee|192.168.1.70|200|39|Mozilla/5.0 (Linux; Android 11)|null
2025-04-17T00:20:52.345Z|POST|/api/payments/process|172|klee|192.168.1.70|201|121|Mozilla/5.0 (Linux; Android 11)|null
2025-04-17T00:23:15.678Z|GET|/api/v1/data|198|null|192.168.1.65|200|42|Node.js/v16.14.2|API_KEY_98f36a2c
2025-04-17T00:25:48.901Z|POST|/api/v1/data|198|null|192.168.1.65|201|87|Node.js/v16.14.2|API_KEY_98f36a2c
